author_id,author_name,source_pdf,filename,size_bytes,pdf_pages,sha256,step2_decision,decision_reason
dickens,Charles Dickens,source/CharlesDicken/10-Hard-times-author-Charles-Dickens.pdf,10-Hard-times-author-Charles-Dickens.pdf,2880488,412,13e4e52fadfe7947d8b8f7bef8ebd63f0323218362edd8817dcc11598541d4cc,backup,Individual Dickens work usable if main candidates fail balance or extraction.
dickens,Charles Dickens,source/CharlesDicken/11-Dombey-and-Son-autor-Charles-Dickens.pdf,11-Dombey-and-Son-autor-Charles-Dickens.pdf,6163897,938,04c8adaad076439d0ac85a4fc2ff9f3b5168465d22adfdaa0535209c1d5e60e7,backup,Individual Dickens work usable if main candidates fail balance or extraction.
dickens,Charles Dickens,source/CharlesDicken/12-Martin-Chuzzlewit-author-Charles-Dickens.pdf,12-Martin-Chuzzlewit-author-Charles-Dickens.pdf,3704912,817,f8f32872df837dbf4d48fd21d56bd217e71e90af29e8b712e152a86cce8414ca,backup,Individual Dickens work usable if main candidates fail balance or extraction.
dickens,Charles Dickens,source/CharlesDicken/13-Our-Mutual-Friend-author-Charles-Dickens.pdf,13-Our-Mutual-Friend-author-Charles-Dickens.pdf,12328984,826,94362f02ccb8da6d6b8b98c3c3379c6dbc189e9a46a7956d5ff50b49f5251ce5,backup,Individual Dickens work usable if main candidates fail balance or extraction.
dickens,Charles Dickens,source/CharlesDicken/14-The-Mystery-of-Edwin-Drood-author-Charles-Dickens.pdf,14-The-Mystery-of-Edwin-Drood-author-Charles-Dickens.pdf,885960,267,78a2f303323a6d4c47812feb4d0609598e3e584a0c5987de70a1905e3a149dc0,exclude_or_defer,Genre/form/collaboration/incompleteness makes it unsuitable for main corpus.
dickens,Charles Dickens,source/CharlesDicken/15-Barnaby-Rudge-author-Charles-Dickens.pdf,15-Barnaby-Rudge-author-Charles-Dickens.pdf,7583202,742,636616bf5ac065cf9700f78e440fab44b23824125f7246bbf3d09c1f906ffebf,backup,Individual Dickens work usable if main candidates fail balance or extraction.
dickens,Charles Dickens,source/CharlesDicken/16-American-Notes-for-General-Circulation-author-Charles-Dickens.pdf,16-American-Notes-for-General-Circulation-author-Charles-Dickens.pdf,1869733,279,e36dd23b866d12a919afe68249033a5ef5bd7a0c5f6795134a8e4c1e4e07a0e8,exclude_or_defer,Genre/form/collaboration/incompleteness makes it unsuitable for main corpus.
dickens,Charles Dickens,source/CharlesDicken/17-The-Chimes-author-Charles-Dickens.pdf,17-The-Chimes-author-Charles-Dickens.pdf,1528322,116,b0369ee673bb1b24c37caa10e7e3f1133826b2d1e7d7935540c17b56b4fb1ac2,backup,Individual Dickens work usable if main candidates fail balance or extraction.
dickens,Charles Dickens,source/CharlesDicken/18-The-Cricket-on-the-Hearth-author-Charles-Dickens.pdf,18-The-Cricket-on-the-Hearth-author-Charles-Dickens.pdf,1610676,126,d6d955aec5cc45e79a8a49087dcf263e5a6bf55b76cc477f7764e60cecddfbe1,backup,Individual Dickens work usable if main candidates fail balance or extraction.
dickens,Charles Dickens,source/CharlesDicken/196.-Bleak-House-Author-Charles-Dickens.pdf,196.-Bleak-House-Author-Charles-Dickens.pdf,3962907,920,b8b1310ce0882fd29f48622bb22ba07e930c0bfd51772d7fcd4771c95c53abd5,backup,Individual Dickens work usable if main candidates fail balance or extraction.
dickens,Charles Dickens,source/CharlesDicken/2.-Oliver-Twist-Author-Charles-Dickens-compressed.pdf,2.-Oliver-Twist-Author-Charles-Dickens-compressed.pdf,999159,433,a6acd56c6ed91c9e4d16032bac71faf41d01c56ac38a3d8ee0995e1de4902a99,main_candidate,Individual Dickens novel suitable for main corpus.
dickens,Charles Dickens,source/CharlesDicken/20-The-Old-Curiosity-Shop-author-Charles-Dickens.pdf,20-The-Old-Curiosity-Shop-author-Charles-Dickens.pdf,7988596,683,356c312b75ed4acb6d65d79481a2be7e0fc19b9fa78a4256efa6f83960c0c5ba,backup,Individual Dickens work usable if main candidates fail balance or extraction.
dickens,Charles Dickens,source/CharlesDicken/21-Master-Humphrey-s-Clock-author-Charles-Dickens.pdf,21-Master-Humphrey-s-Clock-author-Charles-Dickens.pdf,418323,155,5e799e89b436ba02a33191c98dfc28dcb310ae040c8e4d8de910631169fa72d1,exclude_or_defer,Genre/form/collaboration/incompleteness makes it unsuitable for main corpus.
dickens,Charles Dickens,source/CharlesDicken/4-David-Copperfield-author-Charles-Dickens.pdf,4-David-Copperfield-author-Charles-Dickens.pdf,12445728,883,9e61087a3dde7e9b0a4b22853615951770f1e20e32c4a350aae5da77473b7b15,backup,Individual Dickens work usable if main candidates fail balance or extraction.
dickens,Charles Dickens,source/CharlesDicken/7-The-Posthumous-Papers-of-the-Pickwick-Club-autor-Charles-Dickens.pdf,7-The-Posthumous-Papers-of-the-Pickwick-Club-autor-Charles-Dickens.pdf,2909929,722,f944b850b0ccf3a39ea5b3a1bb088139b8103919069ab9ea9f725c40c9dbd6f2,backup,Individual Dickens work usable if main candidates fail balance or extraction.
dickens,Charles Dickens,source/CharlesDicken/8-Nicholas-Nickleby-autor-Charles-Dickens.pdf,8-Nicholas-Nickleby-autor-Charles-Dickens.pdf,3011432,775,7c422e13686dea40b7fb129ff7abf03873847d16b5ab95b022e1753111acd72f,backup,Individual Dickens work usable if main candidates fail balance or extraction.
dickens,Charles Dickens,source/CharlesDicken/9-Little-Dorrit-author-Charles-Dickens.pdf,9-Little-Dorrit-author-Charles-Dickens.pdf,12054779,825,d9985fcee398532b6b6292159c06fd0dbf602b7bd787ba293380e6aff7b28104,backup,Individual Dickens work usable if main candidates fail balance or extraction.
dickens,Charles Dickens,source/CharlesDicken/A-House-to-Let-Charles-Dickens.pdf,A-House-to-Let-Charles-Dickens.pdf,400163,41,a76d9538ac47319a7474ba16f869a6b6e95574664a43e92b055f0da71ae05be8,exclude_or_defer,Genre/form/collaboration/incompleteness makes it unsuitable for main corpus.
dickens,Charles Dickens,source/CharlesDicken/Sketches-by-Boz-Charles-Dickens.pdf,Sketches-by-Boz-Charles-Dickens.pdf,2902253,510,75ef685e77047f0494cf67b340113b1055cb88e48728ddb592e5d682b7f24253,exclude_or_defer,Genre/form/collaboration/incompleteness makes it unsuitable for main corpus.
dickens,Charles Dickens,source/CharlesDicken/a-christmas-carol-charles-dickens.pdf,a-christmas-carol-charles-dickens.pdf,447043,63,0772fbf7f92afc646ffe5e7c9fb1bf7430416ab3fb890af02046f1ec4a93a6f4,backup,Individual Dickens work usable if main candidates fail balance or extraction.
dickens,Charles Dickens,source/CharlesDicken/a-tale-of-two-cities-charles-dickens.pdf,a-tale-of-two-cities-charles-dickens.pdf,1883705,386,77d4ad30a61a8089bb19572928bdaf06818bf63b04f11cf048f82ba2dd7cd903,backup,Individual Dickens work usable if main candidates fail balance or extraction.
dickens,Charles Dickens,source/CharlesDicken/great-expectations-charles-dicken.pdf,great-expectations-charles-dicken.pdf,2505623,492,533dba56fb234f085b7109bed679e56f55be6878d408600d26503d507e1fac37,main_candidate,Individual Dickens novel suitable for main corpus.
poe,Edgar Allan Poe,source/EdgarPoe/the-complete-works-of-edgar-allan-poe.pdf,the-complete-works-of-edgar-allan-poe.pdf,6045343,2516,41551b34977e9fc1640c452c4449bb48ea91e9caf938488225f84846253f3514,main_container_candidate,Complete-works/container PDF; exact work boundaries must be extracted later.
twain,Mark Twain,source/Marktwain/completeworksofm09twaiiala.pdf,completeworksofm09twaiiala.pdf,15933723,448,2a197615d83deb6756b49d428d2ef8c1a27ac14be287c2820ed3c0b9bea8fc28,main_candidate_with_gap,Initial PDF text indicates Huckleberry Finn. Need to verify if Tom Sawyer is absent; one-work author balance risk.
shelley,Mary Shelley,source/Marryshelly/delphi-complete-works-of-mary-shelley-mary-shelley-_shelley_-mary_-2013-Delphi-Classics-147fa34700ef.pdf,delphi-complete-works-of-mary-shelley-mary-shelley-_shelley_-mary_-2013-Delphi-Classics-147fa34700ef.pdf,21890393,5464,a9a7c167198f4715e8bd1ce8cb27f378443d09824af739c244c1a809742810fa,main_container_candidate,Complete-works/container PDF; exact work boundaries must be extracted later.
wilde,Oscar Wilde,source/Oscarwilde/Complete works of Oscar Wilde (1921) 6.pdf,Complete works of Oscar Wilde (1921) 6.pdf,6288982,396,66217aaab4d8111c6ad8b4165baee94debb027e7cbb2b941a7131b8d65b0e38c,not_usable_for_main,Drama volume. Main study is prose fiction, so this remains excluded.
wilde,Oscar Wilde,source/Oscarwilde/Lord Arthur Savile’s Crime and Other Stories - Oscar Wilde - PDF Room.pdf,Lord Arthur Savile’s Crime and Other Stories - Oscar Wilde - PDF Room.pdf,781662,105,b6b150e2f840f9e21440d08f64b87237ac618b5c61e61607071a8a72744281d5,usable_prose_fiction_source,Newly uploaded prose-fiction collection. Suitable for Wilde backup/main corpus after extraction validation.
wilde,Oscar Wilde,source/Oscarwilde/THE PICTURE OF DORIAN GRAY.pdf,THE PICTURE OF DORIAN GRAY.pdf,736703,31,b3e306c6aaa341b43fdbabdf1559e02137c4f34831fecd01a0d6199a4ad96650,exclude_retelling,Oxford Bookworms 1989 retelling by Jill Nevile; not Wilde's original prose and must not be used for authorial-style analysis.
austen,Jane Austen,source/austenJane/_OceanofPDF.com_Complete_Works_Extras_-_Austen_Jane_compressed.pdf,_OceanofPDF.com_Complete_Works_Extras_-_Austen_Jane_compressed.pdf,21497056,11845,60dd0e3d997cb76d4f13a7d661bd1250163b402df88c41ca4f2c0d1b1fa23f71,main_container_candidate,Complete-works/container PDF; exact work boundaries must be extracted later.
